textid	target	text	condition														
189	0	This flyer and that flyer differ apart.	1														
191	1	The gardener grew that acorn into an oak tree.	1														
220	1	The cake that Jones got was more delicious than the one that Smith got.	1														
222	1	I saw that gas can explode.	1														
226	0	Some my jobs are in jeopardy.	1														
230	0	The monkeys proud of their leader.	1														
231	0	John sounded very.	1														
234	1	John called the president a fool.	1														
235	1	I forgot how good beer tastes.	1														
236	1	This teacher is a genius.	1														
241	1	This week will be a difficult one for us.	1														
242	1	Benny worked in a shoe factory when he was a student.	1														
244	1	This proved a decisive factor.	1														
246	1	John is afraid of Bill.	1														
252	1	John regards Bill as a good friend.	1														
254	1	The chickens seem fond of the farmer.	1														
255	1	The rules require that the executives be polite.	1														
256	0	That Fred was unpopular nominated Bill.	1														
260	1	We made them be rude.	1														
264	1	Most of the fruit is rotten.	1														
267	1	It is a golden hair.	1														
269	1	"That dog is so ferocious, it even tried to bite itself."	1														
271	0	John is easy to please Kim.	1														
274	0	We believed John to be a fountain in the park.	1														
277	1	Under the bed seems to be a fun place to hide.	1														
278	0	There is believed to be sheep in the park.	1														
283	1	John was found in the office.	1														
284	0	Did the child be in the school?	1														
292	1	"As a statesman, scarcely could he do anything worth mentioning."	1														
299	0	A pound was weighed by the book.	1														
308	0	Jack is the person with whom Jenny fell in love with.	1														
312	0	Which topic did you get bored because Mary talked about?	1														
313	1	That is the reason why he resigned.	1														
315	1	To please John is easy.	1														
316	1	Kim is eager to please Tom.	1														
319	0	Who achieved the best result was Angela.	1														
320	1	It was the peasant girl who got it.	1														
321	1	That kind of person is hard to find anyone to look after.	1														
325	1	I'm sure we even got these tickets!	1														
326	1	I'm even sure we got these tickets!	1														
328	1	It isn't because Sue said anything bad about me that I'm angry.	1														
329	0	"That he was hungry, John whined."	1														
331	0	"Because she's so pleasant, as for Mary I really like her."	1														
333	1	With no job would John be happy.	1														
334	1	I have much of the manuscript left to type.	1														
335	1	He's a more reliable man.	1														
336	0	Any trouble is what I don't want.	1														
337	1	They may grow as high as bamboo.	1														
343	0	Blue leather shows herself that Betsy is pretty.	1														
355	0	the panther's the coat is dark black.	1														
368	0	"If I am a rich man, I'd buy a diamond ring."	1														
369	1	"If he were a rich man, he'd buy a diamond ring."	1														
370	1	John is likely to leave.	1														
378	1	Jean is reluctant to dance.	1														
398	1	In which car was the man seen?	1														
405	1	This building is tall.	1														
409	1	They realised that never had Sir Thomas been so offended.	1														
412	1	He left the train with somebody else's wallet in his pocket.	1														
415	1	The idea dismayed the Prime Minister that the Dome was dull.	1														
418	1	The book is boring.	1														
422	1	The fugitive lay motionless in order to avoid discovery.	1														
426	1	Fiona might be here by 5 o'clock.	1														
427	1	I am both expecting to get the job and of the opinion that it is a desirable one.	1														
428	1	Pat was awarded the Golden Fleece Award and very upset about it.	1														
434	0	Kim and Terry is happy.	1														
440	1	John became deadly afraid of flying.	1														
441	1	What John promised is to be gentle.	1														
446	1	It was from six to nine or it took place from six to nine.	1														
462	1	Mary thinks that she is smart.	1														
463	1	Henry found that Bill is sad.	1														
464	1	John considers himself proud of Mary.	1														
466	1	There is a nurse available.	1														
469	0	"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech."	1														
473	0	What Mary did Bill was give a book.	1														
475	1	to steal talismans from witches is dangerous	1														
480	1	It is not true that I might be going to the party.	1														
489	1	There is a programme about Euripides on a Radio 4 tonight?	1														
498	0	I ate that she was happy	1														
499	1	Anson believed himself to be handsome.	1														
502	0	Anson thought that himself was happy.	1														
507	1	Jason happens to appear to seem to be sick.	1														
511	0	How fierce the battle?	1														
517	1	Agamemnon seems to be a maniac	1														
527	0	Anson became a muscle bound.	1														
543	0	"John was tall, but I don't know on what occasions."	1														
546	0	"I know that Meg's attracted to Harry, but they don't know who."	1														
548	1	"I know that Meg's attracted to Harry, but they don't know who."	1														
553	1	Everyone relies on someone. It's unclear who.	1														
583	1	"Meg is attracted to Harry, but they don't know who she is attracted to."	1														
584	1	"Sandy was trying to work out which students would be able to solve a certain problem, but she wouldn't tell us which one."	1														
588	0	It has been determined that somebody will be appointed; it's just not clear yet who.	1														
591	1	"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us which."	1														
592	1	"Sandy is very anxious to see if the students will be able to solve the homework problem in a particular way, but she won't tell us in which way."	1														
593	1	"Clinton is anxious to find out which budget dilemmas Panetta would be willing to tackle in a certain way, but he won't say in which."	1														
595	0	In which way is Sandy very anxious to see if the students will be able to solve the homework problem?	1														
596	0	In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve?	1														
600	1	Sandy was trying to work out which students would be able to solve a certain problem.	1														
601	1	The administration has issued a statement that it is willing to meet with one of the student groups.	1														
602	1	Sandy was trying to work out which students would be able to solve a problem.	1														
603	1	The administration has issued a statement that it is willing to meet a student group.	1														
604	1	"The administration has issued a statement that it is willing to meet a student group, but I'm not sure which one."	1														
607	0	"Tony sent Mo a picture that he painted, but it's not clear with what."	1														
610	1	It was believed by everybody that Mary was a thief.	1														
624	1	The table was wiped clean by John.	1														
625	0	The table was wiped by John clean.	1														
651	1	"If the ants were called elephants and elephants ants, I'd be able to squash an elephant."	1														
655	1	"Harry told Sue that Albania is a lovely place for a vacation, and Tom."	1														
659	0	"Arizona elected Goldwater Senator, and Massachusetts, McCormack."	1														
669	1	"Bill's story about Sue may be amazing, but Max's is virtually incredible."	1														
673	0	"As a teacher, you have to deal simultaneously with the administration's pressure on you to succeed, and the children's to be a nice guy."	1														
685	1	The book which inspired them was very long.	1														
686	0	The book what inspired them was very long.	1														
688	1	The person whose mother's dog we were all fond of.	1														
695	0	I wonder what to be a clown on the cover of.	1														
702	0	What they feared most was to be no one available to help them.	1														
705	0	"Mary arranged for, in St. Louis, John to rent a house cheap."	1														
706	1	It would be unwise for there to be no fire exit.	1														
714	1	I thought that you were sick.	1														
719	0	"Jones, that we were talking to last night, always watches football games alone."	1														
724	1	The only person that I like whose kids Dana is willing to put up with is Pat.	1														
726	0	The only person whose kids Dana is willing to put up with was written by John.	1														
728	1	The only person whose kids Dana is willing to put up with is Pat.	1														
733	1	All who lost money in the scam are eligible for the program.	1														
736	1	Everything you like is on the table.	1														
738	1	The only people being added to our group who were at Harvard were students.	1														
755	0	We found your letter to ourselves in the trash.	1														
763	1	We need to pen the pigs to keep them from getting into the corn.	1														
770	1	Lee saw the student with a telescope.	1														
771	1	I forgot how good beer tastes.	1														
772	1	Visiting relatives can be boring.	1														
774	1	That's a new car dealership.	1														
778	1	I'm creating a committee. Kim Ð you're in charge.	1														
779	1	Lights go out at ten. There will be no talking afterwards.	1														
789	1	They were interested in his.	1														
790	1	This is my favorite.	1														
797	1	Some people consider the noisy dogs dangerous.	1														
798	1	Some people consider the dogs in my neighborhood dangerous.	1														
799	1	Some people consider noisy dogs in my neighborhood dangerous.	1														
800	1	Some people consider the dogs dangerous.	1														
801	1	Some people consider noisy dogs dangerous.	1														
802	1	Some people consider dogs in my neighborhood dangerous.	1														
803	1	Some people consider dogs dangerous.	1														
821	1	Kerry remarked it was late.	1														
824	0	I was already aware of fact.	1														
832	1	The teacher became angry with the students.	1														
833	0	The teacher became.	1														
840	0	The children are happy of ice cream.	1														
841	0	The children are fond with the ice cream.	1														
842	0	The children are fond that they have ice cream.	1														
855	1	A chair was broken.	1														
856	1	They want them arrested.	1														
857	1	They preferred them arrested.	1														
858	1	We preferred them on our team.	1														
859	1	"With my parents as supportive as they are, I'll be in fine shape."	1														
869	0	The person confessed responsible.	1														
870	0	The cat slept soundly and furry.	1														
898	1	The horse kicked me black and blue.	1														
901	1	The horse that was raced past the barn fell.	1														
905	1	Lou forgot the umbrella in the closet.	1														
906	1	Lou hoped the umbrella was broken.	1														
907	0	Lou hoped the umbrella in the closet.	1														
908	0	Lou put the umbrella was broken.	1														
910	1	The artist drew the child with a pencil.	1														
922	0	The patient was died.	1														
928	1	There is a monster in Loch Ness.	1														
929	1	It is obvious that Pat is lying.	1														
930	1	Pat is the captain of the team.	1														
932	1	There is a unicorn in the garden.	1														
933	1	There was a felon elected to the city council.	1														
934	1	There is a seat available.	1														
935	0	A seat available was in the last row.	1														
938	1	A felon was elected to the city council.	1														
961	1	John is sad.	1														
962	1	John loaded the wagon full with hay.	1														
963	0	John loaded the wagon with hay green.	1														
964	0	I presented John with it dead.	1														
966	1	John became rich.	1														
968	1	how silly is Bill considered?	1														
969	1	how mad was Bill made?	1														
970	1	John is sick.	1														
971	1	John left singing.	1														
972	1	John is near Larry.	1														
973	1	John gave Bill the dog dead.	1														
974	0	Bill was struck by John as stupid.	1														
975	0	John was struck as sick.	1														
979	1	To leave would be a pleasure.	1														
980	0	John was struck by Bill as pompous.	1														
982	1	They make good cooks.	1														
994	1	to die is no fun.	1														
998	1	John told Mary that it would be important to leave early.	1														
999	1	John told Mary that it was important to Fred to leave early.	1														
1000	1	"John, told Mary that it would be appropriate to leave together."	1														
1001	0	the election of John president surprised me.	1														
1002	1	John's arriving dead surprised me.	1														
1008	1	It is a problem that he is here.	1														
1009	1	It bothers me that he is here.	1														
1012	0	John believes it sincerely that Bill is here.	1														
1013	0	John is aware of it that Bill is here.	1														
1014	0	John felt it that Bill was tardy.	1														
1015	0	John believed it that Bill was tardy.	1														
1016	1	It was believed that Bill was tardy.	1														
1017	0	That John is reluctant seems.	1														
1018	0	It is the problem that he is here.	1														
1019	1	That he is here is the problem.	1														
1020	1	The problem we are discussing is George.	1														
1021	0	It is to give up to leave.	1														
