textid	target	model	tokenizer	predicted	prob
47	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9894240498542786
59	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.7934874296188354
62	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9608076810836792
69	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9775779247283936
73	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9896236062049866
76	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9798809289932251
77	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9158787131309509
79	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.977685272693634
83	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9614972472190857
84	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.6236224174499512
87	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.919855535030365
88	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9860978126525879
106	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9291431307792664
108	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9843904376029968
109	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.7809722423553467
110	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.7365683913230896
112	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9760634899139404
114	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9880905151367188
115	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9780845642089844
117	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9811210036277771
118	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9428768157958984
126	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9792596101760864
144	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.961747407913208
149	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9848864674568176
150	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.987032413482666
157	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9802747368812561
180	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8045032024383545
189	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9833178520202637
191	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8925826549530029
220	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.945773184299469
222	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9906902313232422
226	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.937037467956543
230	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9363290667533875
231	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8579229712486267
234	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9895317554473877
235	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9888454079627991
236	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9903835654258728
241	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9840087890625
242	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9889863729476929
244	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9889894127845764
246	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9885537624359131
252	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9883332848548889
254	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.988605797290802
255	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9902179837226868
256	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9697021245956421
260	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9866800904273987
264	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9884441494941711
267	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8698776960372925
269	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9669581055641174
271	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.7582356929779053
274	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9777563810348511
277	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9714890718460083
278	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9610385894775391
283	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9873565435409546
284	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9812189936637878
292	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9762778878211975
299	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9756985306739807
308	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.7646087408065796
312	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9472560882568359
313	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9884097576141357
315	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9905473589897156
316	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9894494414329529
319	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9852745532989502
320	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9899598360061646
321	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8869988322257996
325	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9850356578826904
326	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9827977418899536
328	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.7582629323005676
329	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9548863768577576
331	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8900849223136902
333	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.969002366065979
334	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9861844182014465
335	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9670243263244629
336	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9629159569740295
337	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9838445782661438
343	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9800499081611633
355	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.972010612487793
368	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8403409123420715
369	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9858419299125671
370	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9899975061416626
378	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9887109398841858
398	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9861754775047302
405	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9501372575759888
409	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9472204446792603
412	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9794906973838806
415	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9847346544265747
418	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9905754327774048
422	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9766033887863159
426	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9860823154449463
427	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8552073836326599
428	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9817821979522705
434	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9742193222045898
440	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9853400588035583
441	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9775679111480713
446	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.968535304069519
462	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.990777850151062
463	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9807825684547424
464	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9860364198684692
466	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9910973310470581
469	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9841789603233337
473	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8650857210159302
475	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9891242980957031
480	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.988336980342865
489	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9704814553260803
498	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.981758713722229
499	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9874899983406067
502	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.985965371131897
507	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.98227858543396
511	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9565098881721497
517	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9814445972442627
527	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9848008155822754
543	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9317367672920227
546	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9767887592315674
548	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9767887592315674
553	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9810760021209717
583	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9833996891975403
584	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.984397828578949
588	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9845728278160095
591	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9840306043624878
592	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9826552867889404
593	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9785215854644775
595	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9721096158027649
596	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9760887026786804
600	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9862086772918701
601	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9759730100631714
602	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.986581563949585
603	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.971891462802887
604	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9731758236885071
607	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8618038296699524
610	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9899728298187256
624	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.990202784538269
625	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.873807966709137
651	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9286013841629028
655	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8682620525360107
659	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9412723779678345
669	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.982358992099762
673	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8790498971939087
685	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9862726926803589
686	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9698427319526672
688	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9739269614219666
695	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9676442742347717
702	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9837000966072083
705	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9096768498420715
706	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.974460244178772
714	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9905586242675781
719	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.8000971078872681
724	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9348539113998413
726	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.7543588876724243
728	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8736976385116577
733	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9896283149719238
736	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9865145087242126
738	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9587803483009338
755	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.5095421075820923
763	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9878410696983337
770	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9875015020370483
771	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9888454079627991
